ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.90078 2.52800 1.10964 2.03787 2.38697 10.52784 6283.0 14795.6 1.97509 0.34001 
0.90104 2.53600 1.11638 2.03806 2.38733 10.51998 6283.0 14812.1 1.97333 0.33964 
0.90129 2.54400 1.12314 2.03824 2.38768 10.51215 6282.9 14828.5 1.97158 0.33927 
0.90155 2.55200 1.12990 2.03842 2.38802 10.50436 6282.9 14844.9 1.96982 0.33891 
0.90180 2.56000 1.13669 2.03859 2.38834 10.49661 6282.8 14861.2 1.96806 0.33855 
0.90206 2.56800 1.14348 2.03875 2.38865 10.48890 6282.8 14877.4 1.96630 0.33819 
0.90230 2.57600 1.15029 2.03890 2.38895 10.48122 6282.7 14893.5 1.96453 0.33783 
0.90255 2.58400 1.15711 2.03904 2.38924 10.47357 6282.6 14909.6 1.96276 0.33748 
0.90280 2.59200 1.16394 2.03918 2.38951 10.46596 6282.6 14925.6 1.96099 0.33713 
0.90304 2.60000 1.17079 2.03930 2.38977 10.45839 6282.5 14941.5 1.95921 0.33678 
0.90328 2.60800 1.17765 2.03943 2.39002 10.45085 6282.5 14957.4 1.95743 0.33643 
0.90352 2.61600 1.18452 2.03954 2.39026 10.44335 6282.4 14973.2 1.95566 0.33608 
0.90376 2.62400 1.19140 2.03965 2.39049 10.43589 6282.4 14989.0 1.95388 0.33574 
0.90400 2.63200 1.19830 2.03975 2.39071 10.42845 6282.4 15004.6 1.95210 0.33540 
0.90423 2.64000 1.20520 2.03984 2.39092 10.42105 6282.3 15020.3 1.95031 0.33506 
0.90446 2.64800 1.21212 2.03992 2.39111 10.41368 6282.3 15035.8 1.94853 0.33472 
0.90469 2.65600 1.21906 2.04000 2.39130 10.40634 6282.2 15051.3 1.94674 0.33439 
0.90492 2.66400 1.22600 2.04007 2.39147 10.39904 6282.2 15066.7 1.94495 0.33405 
0.90515 2.67200 1.23296 2.04014 2.39163 10.39177 6282.1 15082.1 1.94316 0.33372 
0.90538 2.68000 1.23993 2.04020 2.39178 10.38454 6282.1 15097.4 1.94137 0.33339 
0.90560 2.68800 1.24691 2.04025 2.39192 10.37734 6282.1 15112.6 1.93958 0.33307 
0.90582 2.69600 1.25390 2.04029 2.39205 10.37017 6282.0 15127.8 1.93778 0.33274 
0.90604 2.70400 1.26091 2.04033 2.39217 10.36303 6282.0 15142.9 1.93599 0.33242 
0.90626 2.71200 1.26792 2.04037 2.39229 10.35592 6281.9 15157.9 1.93419 0.33210 
0.90648 2.72000 1.27495 2.04039 2.39239 10.34885 6281.9 15172.9 1.93240 0.33178 
0.90669 2.72800 1.28199 2.04041 2.39248 10.34180 6281.9 15187.8 1.93060 0.33146 
0.90691 2.73600 1.28905 2.04029 2.39236 10.33451 6281.8 15203.1 1.92863 0.33116 
0.90712 2.74400 1.29611 2.04029 2.39243 10.32752 6281.8 15217.9 1.92683 0.33085 
