ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.80315 1.82800 0.57711 2.03109 2.34817 11.77879 7555.1 12591.2 2.26969 0.47297 
0.80328 1.83600 0.58246 2.03310 2.35104 11.76758 7568.6 12613.6 2.27003 0.47295 
0.80342 1.84400 0.58783 2.03508 2.35385 11.75643 7581.9 12635.9 2.27032 0.47292 
0.80356 1.85200 0.59323 2.03702 2.35662 11.74532 7595.2 12658.0 2.27055 0.47290 
0.80370 1.86000 0.59864 2.03893 2.35934 11.73425 7608.4 12680.1 2.27073 0.47287 
0.80383 1.86800 0.60407 2.04080 2.36202 11.72323 7621.6 12702.0 2.27087 0.47285 
0.80397 1.87600 0.60952 2.04265 2.36466 11.71225 7634.7 12723.8 2.27096 0.47283 
0.80410 1.88400 0.61499 2.04446 2.36725 11.70132 7647.7 12745.6 2.27100 0.47280 
0.80424 1.89200 0.62048 2.04623 2.36980 11.69043 7660.7 12767.2 2.27099 0.47278 
0.80437 1.90000 0.62598 2.04798 2.37230 11.67959 7673.6 12788.6 2.27094 0.47276 
0.80451 1.90800 0.63151 2.04970 2.37476 11.66879 7686.4 12810.0 2.27084 0.47273 
0.80464 1.91600 0.63705 2.05138 2.37718 11.65804 7699.1 12831.3 2.27070 0.47271 
0.80477 1.92400 0.64261 2.05304 2.37956 11.64733 7711.8 12852.4 2.27052 0.47269 
0.80490 1.93200 0.64819 2.05466 2.38190 11.63666 7724.5 12873.5 2.27030 0.47267 
0.80503 1.94000 0.65379 2.05626 2.38420 11.62604 7737.0 12894.4 2.27004 0.47265 
0.80517 1.94800 0.65940 2.05783 2.38646 11.61546 7749.5 12915.3 2.26974 0.47263 
0.80530 1.95600 0.66504 2.05936 2.38868 11.60493 7762.0 12936.0 2.26939 0.47261 
0.80543 1.96400 0.67069 2.06087 2.39086 11.59444 7774.3 12956.7 2.26901 0.47259 
0.80555 1.97200 0.67636 2.06236 2.39300 11.58400 7786.6 12977.2 2.26859 0.47257 
0.80568 1.98000 0.68204 2.06381 2.39510 11.57360 7798.9 12997.6 2.26814 0.47255 
0.80581 1.98800 0.68775 2.06524 2.39716 11.56323 7811.0 13017.9 2.26764 0.47253 
0.80594 1.99600 0.69347 2.06664 2.39919 11.55292 7823.1 13038.2 2.26711 0.47251 
0.80607 2.00400 0.69921 2.06802 2.40119 11.54265 7835.2 13058.3 2.26654 0.47249 
0.80619 2.01200 0.70497 2.06937 2.40315 11.53242 7847.2 13078.3 2.26595 0.47247 
0.80632 2.02000 0.71074 2.07070 2.40507 11.52223 7859.2 13098.2 2.26532 0.47245 
0.80644 2.02800 0.71653 2.07200 2.40697 11.51209 7871.0 13118.1 2.26465 0.47244 
0.80657 2.03600 0.72234 2.07328 2.40882 11.50199 7882.9 13137.8 2.26396 0.47242 
0.80669 2.04400 0.72817 2.07453 2.41065 11.49193 7894.7 13157.5 2.26324 0.47240 
0.80681 2.05200 0.73401 2.07576 2.41244 11.48192 7906.4 13177.0 2.26248 0.47239 
0.80694 2.06000 0.73987 2.07697 2.41420 11.47194 7918.1 13196.4 2.26170 0.47237 
0.80706 2.06800 0.74574 2.07815 2.41592 11.46202 7929.7 13215.8 2.26088 0.47235 
0.80718 2.07600 0.75164 2.07931 2.41762 11.45214 7941.3 13235.1 2.26004 0.47234 
0.80730 2.08400 0.75755 2.08045 2.41928 11.44229 7952.8 13254.2 2.25917 0.47232 
0.80742 2.09200 0.76347 2.08157 2.42092 11.43249 7964.2 13273.3 2.25827 0.47231 
0.80754 2.10000 0.76941 2.08266 2.42252 11.42272 7975.6 13292.3 2.25734 0.47229 
